Engine-Match Sunday, January 5, 2025 2:38:53 PM
 1 Second 

Pairing 1/1 :    CFishFish  -  CFishFishOld

PGN-File: C:\Program Files (x86)\Arena\Arena.pgn

No:  B/W 1/2     W:B       1:2           Time        Value Moves Dep 1:2       1-2-Draws
   1 * *     0.0:0.0        0.0:0.0       2:39:01 PM    +0.37     5 10.333 :9.667  0-0-0
   1 B 2    1.0:0.0        0.0:1.0       5:15:01 PM   -12.94    33 11.963 :12.333  0-1-0
   1 * *     0.0:0.0        0.0:0.0       6:39:50 PM    -6.62    38 11.457 :11.270  0-0-0
   1 * *     0.0:0.0        0.0:0.0       6:46:49 PM    -3.13    15 12.333 :12.889  0-0-0
   1 B 2    1.0:0.0        0.0:1.0       7:01:04 PM    -0.12     7 0:10.000  0-1-0
   2 W 2    1.0:0.0        0.0:2.0       7:08:07 PM   +16.56    68 11.607 :11.321  0-2-0
  23 * *     0.0:0.0        0.0:0.0       9:50:24 PM    +0.21     5 0:0 0-0-0
   1 = =    0.5:0.5        0.5:0.5       10:42:35 AM     0.00    69 12.250 :12.133  0-0-1
   1 = =    0.5:0.5        0.5:0.5       10:51:25 AM     0.00    84 12.091 :12.500  0-0-1
   2 = =    1.0:1.0        1.0:1.0       11:09:37 AM     0.00    62 11.885 :12.067  0-0-2
   3 B 2    2.0:1.0        1.0:2.0       11:29:36 AM   -14.46    65 11.400 :12.480  0-1-2
   4 W 2    2.0:1.0        1.0:3.0       11:46:19 AM   +12.38    54 11.979 :12.511  0-2-2
   5 B 2    2.0:1.0        1.0:4.0       12:00:35 PM      -M6    62 11.815 :13.018  0-3-2
   6 W 2    2.0:1.0        1.0:5.0       12:17:51 PM    +9.99    43 10.880 :12.000  0-4-2
   7 = =    1.5:1.5        1.5:5.5       12:50:22 PM     0.00   152 11.920 :12.275  0-4-3
   8 W 2    2.5:1.5        1.5:6.5       1:07:35 PM   +15.68    85 11.333 :11.956  0-5-3
   9 = =    2.0:2.0        2.0:7.0       1:22:02 PM     0.00    34 10.750 :11.789  0-5-4
  10 W 2    3.0:2.0        2.0:8.0       1:39:17 PM      +M4    60 11.526 :12.439  0-6-4
  11 = =    2.5:2.5        2.5:8.5       1:57:18 PM     0.00    46 11.273 :12.083  0-6-5
